core_name,OD,ID,HT,AL1kHz,AL10kHz,AL100kHz
322010_SF3,32,20,10,28.4,21.3,10.7
322015_SF3,32,20,15,42.6,32,16
332310_SF3,33,23,10,22,16.5,8.3
332315_SF3,33,23,15,33,24.8,12.4
332320_SF3,33,23,20,44,33,16.5
332325_SF3,33,23,25,55,41.3,20.6
383020_SF3,38,30,20,29,21.7,10.9
402510_SF3,40,25,10,28.4,21.3,10.7
402515_SF3,40,25,15,42.6,32,16
403215_SF3,40,32,15,20.5,15.4,7.7
503215_SF3,50,32,15,40.6,30.4,15.2
503220_SF3,50,32,20,54.1,40.6,20.3
504025_SF3,50,40,25,34.2,25.7,12.8
583820_SF3,58,38,20,51.3,38.5,19.3
603525_SF3,60,35,25,61.6,46.2,23.1
644020_SF3,64,40,20,56.9,42.6,21.3
655025_SF3,65,50,25,40.2,30.1,15.1
806015_SF3,80,60,15,71.1,53.3,26.7
906020_SF3,90,60,20,26.4,19.8,9.9
1008020_SF3,100,80,20,49.3,37,18.5
1108025_SF3,110,80,25,27.4,20.5,10.3
1158020_SF3,115,80,20,48.6,36.5,18.2
1158525_SF3,115,85,25,46.2,34.7,17.3
1208525_SF3,120,85,25,52.6,39.4,19.7
12010025_SF3,120,100,25,28,21,10.5
13010030_SF3,130,100,30,48.2,36.2,18.1
14010020_SF3,140,100,20,41.1,30.8,15.4
14010025_SF3,140,100,25,51.3,38.5,19.3
17012525_SF3,170,120,25,53.1,39.8,19.9
22219025_SF3,222,190,25,23.9,17.9,9
22219030_SF3,222,190,30,28.7,21.5,10.8
24819820_SF3,248,198,20,27.6,20.7,10.4
24819830_SF3,248,198,30,41.4,31.1,15.5
26421430_SF3,264,214,30,38.7,29,14.5
27020030_SF3,270,200,30,55,41.3,20.6
